sample,species,ref,dist,mapping_success,cat
KLC098,sept,am,57.37,0.9711,merged
RLK004,gul,am,57.37,0.971,merged
RLK019,inor,am,57.37,0.9645,merged
RLK034,marm,am,0,0.9934,merged
KLC098,sept,hc,345.9,0.1506,merged
RLK004,gul,hc,345.9,0.1517,merged
RLK019,inor,hc,345.9,0.144,merged
RLK034,marm,hc,345.9,0.1908,merged
KLC098,sept,la,313.9,0.1423,merged
RLK004,gul,la,313.9,0.1413,merged
RLK019,inor,la,313.9,0.1337,merged
RLK034,marm,la,313.9,0.1799,merged
KLC098,sept,pb,335.32,0.1193,merged
RLK004,gul,pb,335.32,0.1166,merged
RLK019,inor,pb,335.32,0.1085,merged
RLK034,marm,pb,335.32,0.1534,merged
KLC098,sept,pm,313.9,0.1438,merged
RLK004,gul,pm,313.9,0.1437,merged
RLK019,inor,pm,313.9,0.1372,merged
RLK034,marm,pm,313.9,0.1808,merged
KLC098,sept,pr,313.9,0.1464,merged
RLK004,gul,pr,313.9,0.1459,merged
RLK019,inor,pr,313.9,0.1388,merged
RLK034,marm,pr,313.9,0.1875,merged
KLC098,sept,su,335.32,0.1255,merged
RLK004,gul,su,335.32,0.1237,merged
RLK019,inor,su,335.32,0.1162,merged
RLK034,marm,su,335.32,0.1654,merged
KLC098,sept,am,57.37,0.9713,unmerged
RLK004,gul,am,57.37,0.9735,unmerged
RLK019,inor,am,57.37,0.9704,unmerged
RLK034,marm,am,0,0.9944,unmerged
KLC098,sept,hc,345.9,0.1136,unmerged
RLK004,gul,hc,345.9,0.112,unmerged
RLK019,inor,hc,345.9,0.1119,unmerged
RLK034,marm,hc,345.9,0.1317,unmerged
KLC098,sept,la,313.9,0.1043,unmerged
RLK004,gul,la,313.9,0.1019,unmerged
RLK019,inor,la,313.9,0.1015,unmerged
RLK034,marm,la,313.9,0.1197,unmerged
KLC098,sept,pb,335.32,0.0838,unmerged
RLK004,gul,pb,335.32,0.0816,unmerged
RLK019,inor,pb,335.32,0.0814,unmerged
RLK034,marm,pb,335.32,0.0977,unmerged
KLC098,sept,pm,313.9,0.1053,unmerged
RLK004,gul,pm,313.9,0.1033,unmerged
RLK019,inor,pm,313.9,0.1031,unmerged
RLK034,marm,pm,313.9,0.1197,unmerged
KLC098,sept,pr,313.9,0.1074,unmerged
RLK004,gul,pr,313.9,0.1047,unmerged
RLK019,inor,pr,313.9,0.1043,unmerged
RLK034,marm,pr,313.9,0.1231,unmerged
KLC098,sept,su,335.32,0.0961,unmerged
RLK004,gul,su,335.32,0.094,unmerged
RLK019,inor,su,335.32,0.0944,unmerged
RLK034,marm,su,335.32,0.1101,unmerged
