sample,species,ref,dist,avg_depth,cat
KLC098,sept,am,57.37,3.10056,merged
RLK004,gul,am,57.37,2.94008,merged
RLK019,inor,am,57.37,3.0953,merged
RLK034,marm,am,0,4.81418,merged
KLC098,sept,hc,345.9,0.125226,merged
RLK004,gul,hc,345.9,0.114812,merged
RLK019,inor,hc,345.9,0.113859,merged
RLK034,marm,hc,345.9,0.252881,merged
KLC098,sept,la,313.9,0.199725,merged
RLK004,gul,la,313.9,0.183282,merged
RLK019,inor,la,313.9,0.182365,merged
RLK034,marm,la,313.9,0.379242,merged
KLC098,sept,pb,335.32,0.143375,merged
RLK004,gul,pb,335.32,0.129568,merged
RLK019,inor,pb,335.32,0.127472,merged
RLK034,marm,pb,335.32,0.297582,merged
KLC098,sept,pm,313.9,0.184865,merged
RLK004,gul,pm,313.9,0.170393,merged
RLK019,inor,pm,313.9,0.170185,merged
RLK034,marm,pm,313.9,0.347023,merged
KLC098,sept,pr,313.9,0.189151,merged
RLK004,gul,pr,313.9,0.1724,merged
RLK019,inor,pr,313.9,0.171657,merged
RLK034,marm,pr,313.9,0.363736,merged
KLC098,sept,su,335.32,0.131354,merged
RLK004,gul,su,335.32,0.120606,merged
RLK019,inor,su,335.32,0.120491,merged
RLK034,marm,su,335.32,0.232137,merged
KLC098,sept,am,57.37,19.6973,unmerged
RLK004,gul,am,57.37,21.0203,unmerged
RLK019,inor,am,57.37,19.215,unmerged
RLK034,marm,am,0,21.3317,unmerged
KLC098,sept,hc,345.9,0.702454,unmerged
RLK004,gul,hc,345.9,0.730568,unmerged
RLK019,inor,hc,345.9,0.662404,unmerged
RLK034,marm,hc,345.9,0.826615,unmerged
KLC098,sept,la,313.9,1.10806,unmerged
RLK004,gul,la,313.9,1.15355,unmerged
RLK019,inor,la,313.9,1.04574,unmerged
RLK034,marm,la,313.9,1.25431,unmerged
KLC098,sept,pb,335.32,0.762229,unmerged
RLK004,gul,pb,335.32,0.786692,unmerged
RLK019,inor,pb,335.32,0.715183,unmerged
RLK034,marm,pb,335.32,0.892256,unmerged
KLC098,sept,pm,313.9,1.02038,unmerged
RLK004,gul,pm,313.9,1.06766,unmerged
RLK019,inor,pm,313.9,0.969316,unmerged
RLK034,marm,pm,313.9,1.14718,unmerged
KLC098,sept,pr,313.9,1.05136,unmerged
RLK004,gul,pr,313.9,1.08488,unmerged
RLK019,inor,pr,313.9,0.982795,unmerged
RLK034,marm,pr,313.9,1.19188,unmerged
KLC098,sept,su,335.32,0.746273,unmerged
RLK004,gul,su,335.32,0.774129,unmerged
RLK019,inor,su,335.32,0.700098,unmerged
RLK034,marm,su,335.32,0.791214,unmerged
