sample,species,ref,dist,mapping_success,cat
KLC098,sept,am,57.37,0.9711,merged_mapping_success
RLK004,gul,am,57.37,0.971,merged_mapping_success
RLK019,inor,am,57.37,0.9645,merged_mapping_success
RLK034,marm,am,0,0.9934,merged_mapping_success
KLC098,sept,hc,345.9,0.1506,merged_mapping_success
RLK004,gul,hc,345.9,0.1517,merged_mapping_success
RLK019,inor,hc,345.9,0.144,merged_mapping_success
RLK034,marm,hc,345.9,0.1908,merged_mapping_success
KLC098,sept,la,313.9,0.1423,merged_mapping_success
RLK004,gul,la,313.9,0.1413,merged_mapping_success
RLK019,inor,la,313.9,0.1337,merged_mapping_success
RLK034,marm,la,313.9,0.1799,merged_mapping_success
KLC098,sept,pb,335.32,0.1193,merged_mapping_success
RLK004,gul,pb,335.32,0.1166,merged_mapping_success
RLK019,inor,pb,335.32,0.1085,merged_mapping_success
RLK034,marm,pb,335.32,0.1534,merged_mapping_success
KLC098,sept,pm,313.9,0.1438,merged_mapping_success
RLK004,gul,pm,313.9,0.1437,merged_mapping_success
RLK019,inor,pm,313.9,0.1372,merged_mapping_success
RLK034,marm,pm,313.9,0.1808,merged_mapping_success
KLC098,sept,pr,313.9,0.1464,merged_mapping_success
RLK004,gul,pr,313.9,0.1459,merged_mapping_success
RLK019,inor,pr,313.9,0.1388,merged_mapping_success
RLK034,marm,pr,313.9,0.1875,merged_mapping_success
KLC098,sept,su,335.32,0.1255,merged_mapping_success
RLK004,gul,su,335.32,0.1237,merged_mapping_success
RLK019,inor,su,335.32,0.1162,merged_mapping_success
RLK034,marm,su,335.32,0.1654,merged_mapping_success
KLC098,sept,am,57.37,0.9713,unmerged_mapping_success
RLK004,gul,am,57.37,0.9735,unmerged_mapping_success
RLK019,inor,am,57.37,0.9704,unmerged_mapping_success
RLK034,marm,am,0,0.9944,unmerged_mapping_success
KLC098,sept,hc,345.9,0.1136,unmerged_mapping_success
RLK004,gul,hc,345.9,0.112,unmerged_mapping_success
RLK019,inor,hc,345.9,0.1119,unmerged_mapping_success
RLK034,marm,hc,345.9,0.1317,unmerged_mapping_success
KLC098,sept,la,313.9,0.1043,unmerged_mapping_success
RLK004,gul,la,313.9,0.1019,unmerged_mapping_success
RLK019,inor,la,313.9,0.1015,unmerged_mapping_success
RLK034,marm,la,313.9,0.1197,unmerged_mapping_success
KLC098,sept,pb,335.32,0.0838,unmerged_mapping_success
RLK004,gul,pb,335.32,0.0816,unmerged_mapping_success
RLK019,inor,pb,335.32,0.0814,unmerged_mapping_success
RLK034,marm,pb,335.32,0.0977,unmerged_mapping_success
KLC098,sept,pm,313.9,0.1053,unmerged_mapping_success
RLK004,gul,pm,313.9,0.1033,unmerged_mapping_success
RLK019,inor,pm,313.9,0.1031,unmerged_mapping_success
RLK034,marm,pm,313.9,0.1197,unmerged_mapping_success
KLC098,sept,pr,313.9,0.1074,unmerged_mapping_success
RLK004,gul,pr,313.9,0.1047,unmerged_mapping_success
RLK019,inor,pr,313.9,0.1043,unmerged_mapping_success
RLK034,marm,pr,313.9,0.1231,unmerged_mapping_success
KLC098,sept,su,335.32,0.0961,unmerged_mapping_success
RLK004,gul,su,335.32,0.094,unmerged_mapping_success
RLK019,inor,su,335.32,0.0944,unmerged_mapping_success
RLK034,marm,su,335.32,0.1101,unmerged_mapping_success
KLC098,sept,am,57.37,0.9713,total_mapping_success
RLK004,gul,am,57.37,0.9733,total_mapping_success
RLK019,inor,am,57.37,0.9698,total_mapping_success
RLK034,marm,am,0,0.9921,total_mapping_success
KLC098,sept,hc,345.9,0.117,total_mapping_success
RLK004,gul,hc,345.9,0.1153,total_mapping_success
RLK019,inor,hc,345.9,0.1149,total_mapping_success
RLK034,marm,hc,345.9,0.1334,total_mapping_success
KLC098,sept,la,313.9,0.1078,total_mapping_success
RLK004,gul,la,313.9,0.1052,total_mapping_success
RLK019,inor,la,313.9,0.1045,total_mapping_success
RLK034,marm,la,313.9,0.1217,total_mapping_success
KLC098,sept,pb,335.32,0.087,total_mapping_success
RLK004,gul,pb,335.32,0.0844,total_mapping_success
RLK019,inor,pb,335.32,0.0839,total_mapping_success
RLK034,marm,pb,335.32,0.0997,total_mapping_success
KLC098,sept,pm,313.9,0.1089,total_mapping_success
RLK004,gul,pm,313.9,0.1066,total_mapping_success
RLK019,inor,pm,313.9,0.1063,total_mapping_success
RLK034,marm,pm,313.9,0.1219,total_mapping_success
KLC098,sept,pr,313.9,0.1109,total_mapping_success
RLK004,gul,pr,313.9,0.1081,total_mapping_success
RLK019,inor,pr,313.9,0.1076,total_mapping_success
RLK034,marm,pr,313.9,0.1252,total_mapping_success
KLC098,sept,su,335.32,0.0988,total_mapping_success
RLK004,gul,su,335.32,0.0964,total_mapping_success
RLK019,inor,su,335.32,0.0965,total_mapping_success
RLK034,marm,su,335.32,0.1115,total_mapping_success
