#Ref_name, Sample_ID, Total_reads, Mapped_reads, Mapped_percentage, Avg_depth
Alligator_mississippiensis,KLC098,146113090,9882384,6.763500,.3536892
Alligator_mississippiensis,RLK004,152999771,10009301,6.542000,.3464558
Alligator_mississippiensis,RLK019,143699061,9415007,6.551800,.3263026
Alligator_mississippiensis,RLK034,157771818,13155418,8.338200,.480290
Ambystoma_mexicanum,KLC098,141654249,938117,.662200,21.71874
Ambystoma_mexicanum,RLK004,148154479,704645,.475600,23.5240
Ambystoma_mexicanum,RLK019,139286477,604350,.433800,16.22409
Ambystoma_mexicanum,RLK034,129538433,1497217,1.155800,51.74002
Aspidoscelis_marmoratus,KLC098,143814817,138114409,96.036200,22.79786
Aspidoscelis_marmoratus,RLK004,150373397,144747929,96.259000,23.96038
Aspidoscelis_marmoratus,RLK019,141456560,135559291,95.831000,22.3103
Aspidoscelis_marmoratus,RLK034,152940504,151871911,99.301300,26.14588
Bison_bison,KLC098,144680842,7682398,5.309800,.2162041
Bison_bison,RLK004,151460497,7621005,5.031600,.2001768
Bison_bison,RLK019,142307238,7230574,5.080900,.1878476
Bison_bison,RLK034,156274974,11167012,7.145700,.350036
Calyptommatus_sinebrachiatus,KLC098,160999583,42063892,26.126700,2.538372
Calyptommatus_sinebrachiatus,RLK004,169045313,44109431,26.093200,2.658439
Calyptommatus_sinebrachiatus,RLK019,158180928,40880155,25.843900,2.458947
Calyptommatus_sinebrachiatus,RLK034,172194365,47373394,27.511500,2.866249
Danio_rerio,KLC098,144654359,4967111,3.433700,.2178214
Danio_rerio,RLK004,151431503,4942543,3.263800,.2017354
Danio_rerio,RLK019,142223412,4508631,3.170100,.1862827
Danio_rerio,RLK034,156501069,6301696,4.026600,.2950282
Eptatretus_burgeri,KLC098,144244286,4743974,3.288800,.1372386
Eptatretus_burgeri,RLK004,151011907,4812069,3.186500,.1250664
Eptatretus_burgeri,RLK019,141839846,4472237,3.153000,.1137951
Eptatretus_burgeri,RLK034,156056092,6987338,4.477400,.2128803
Euleptes_europaea,KLC098,153158778,21991879,14.358800,1.046185
Euleptes_europaea,RLK004,160573230,22675263,14.121400,1.055220
Euleptes_europaea,RLK019,150575909,21060362,13.986500,.971142
Euleptes_europaea,RLK034,164216859,26074589,15.878100,1.340664
Falco_peregrinus,KLC098,145313945,8017040,5.517000,.5149887
Falco_peregrinus,RLK004,152116400,8043834,5.287900,.4911307
Falco_peregrinus,RLK019,142893178,7494405,5.244700,.4476396
Falco_peregrinus,RLK034,156685326,11442456,7.302800,.818699
Fundulus_heteroclitus,KLC098,144416161,4661057,3.227500,.3052353
Fundulus_heteroclitus,RLK004,151126135,4660802,3.084000,.2815778
Fundulus_heteroclitus,RLK019,141984450,4214881,2.968500,.2551919
Fundulus_heteroclitus,RLK034,156493661,6832773,4.366100,.485874
Gekko_japonicus,KLC098,153533764,23059693,15.019200,.786381
Gekko_japonicus,RLK004,160983090,23774694,14.768400,.793157
Gekko_japonicus,RLK019,150902889,21994133,14.575000,.727435
Gekko_japonicus,RLK034,164610985,27198044,16.522600,.992397
Hemicordylus_capensis,KLC098,151924535,21387297,14.077500,.827680
Hemicordylus_capensis,RLK004,159316507,22285510,13.988100,.845382
Hemicordylus_capensis,RLK019,149383861,20636225,13.814200,.776267
