#sample_ID, Ref_name, total_reads,#_of_mapped_reads, mapped_percentage
KLC098,Alligator_mississippiensis,258965032,9882384,0.0381611
RLK004,Alligator_mississippiensis,273261030,10009301,0.0366291
RLK019,Alligator_mississippiensis,254270794,9415007,0.0370275
RLK034,Alligator_mississippiensis,271025183,13155418,0.0485395
KLC098,Ambystoma_mexicanum,258965032,938117,0.00362256
RLK004,Ambystoma_mexicanum,273261030,704645,0.00257865
RLK019,Ambystoma_mexicanum,254270794,604350,0.0023768
RLK034,Ambystoma_mexicanum,271025183,1497217,0.00552427
KLC098,Aspidoscelis_marmoratus,258965032,138114409,0.533332
RLK004,Aspidoscelis_marmoratus,273261030,144747929,0.529706
RLK019,Aspidoscelis_marmoratus,254270794,135559291,0.53313
RLK034,Aspidoscelis_marmoratus,271025183,151871911,0.560361
KLC098,Bison_bison,258965032,7682398,0.0296658
RLK004,Bison_bison,273261030,7621005,0.0278891
RLK019,Bison_bison,254270794,7230574,0.0284365
RLK034,Bison_bison,271025183,11167012,0.0412029
KLC098,Calyptommatus_sinebrachiatus,258965032,42063892,0.162431
RLK004,Calyptommatus_sinebrachiatus,273261030,44109431,0.161419
RLK019,Calyptommatus_sinebrachiatus,254270794,40880155,0.160774
RLK034,Calyptommatus_sinebrachiatus,271025183,47373394,0.174793
KLC098,Danio_rerio,258965032,4967111,0.0191806
RLK004,Danio_rerio,273261030,4942543,0.0180873
RLK019,Danio_rerio,254270794,4508631,0.0177316
RLK034,Danio_rerio,271025183,6301696,0.0232513
KLC098,Eptatretus_burgeri,258965032,4743974,0.018319
RLK004,Eptatretus_burgeri,273261030,4812069,0.0176098
RLK019,Eptatretus_burgeri,254270794,4472237,0.0175885
RLK034,Eptatretus_burgeri,271025183,6987338,0.0257811
KLC098,Euleptes_europaea,258965032,21991879,0.0849222
RLK004,Euleptes_europaea,273261030,22675263,0.0829802
RLK019,Euleptes_europaea,254270794,21060362,0.0828265
RLK034,Euleptes_europaea,271025183,26074589,0.0962073
KLC098,Falco_peregrinus,258965032,8017040,0.030958
RLK004,Falco_peregrinus,273261030,8043834,0.0294364
RLK019,Falco_peregrinus,254270794,7494405,0.0294741
RLK034,Falco_peregrinus,271025183,11442456,0.0422192
KLC098,Fundulus_heteroclitus,258965032,4661057,0.0179988
RLK004,Fundulus_heteroclitus,273261030,4660802,0.0170562
RLK019,Fundulus_heteroclitus,254270794,4214881,0.0165763
RLK034,Fundulus_heteroclitus,271025183,6832773,0.0252108
KLC098,Gekko_japonicus,258965032,23059693,0.0890456
RLK004,Gekko_japonicus,273261030,23774694,0.0870036
RLK019,Gekko_japonicus,254270794,21994133,0.0864989
RLK034,Gekko_japonicus,271025183,27198044,0.100352
KLC098,Hemicordylus_capensis,258965032,21387297,0.0825876
RLK004,Hemicordylus_capensis,273261030,22285510,0.0815539
RLK019,Hemicordylus_capensis,254270794,20636225,0.0811585
RLK034,Hemicordylus_capensis,271025183,25759101,0.0950432
KLC098,Homo_sapiens,258965032,8360938,0.032286
RLK004,Homo_sapiens,273261030,8303637,0.0303872
RLK019,Homo_sapiens,254270794,7923514,0.0311617
RLK034,Homo_sapiens,271025183,12008058,0.0443061
KLC098,Lacerta_agilis,258965032,20199994,0.0780028
RLK004,Lacerta_agilis,273261030,20914438,0.0765365
RLK019,Lacerta_agilis,254270794,19295780,0.0758867
RLK034,Lacerta_agilis,271025183,24203128,0.0893021
KLC098,Latimeria_chalumnae,258965032,7060883,0.0272658
RLK004,Latimeria_chalumnae,273261030,7053836,0.0258135
RLK019,Latimeria_chalumnae,254270794,6578109,0.0258705
RLK034,Latimeria_chalumnae,271025183,10410748,0.0384125
KLC098,Malaclemys_terrapin,258965032,11025568,0.0425755
RLK004,Malaclemys_terrapin,273261030,11190736,0.0409526
RLK019,Malaclemys_terrapin,254270794,10439470,0.0410565
RLK034,Malaclemys_terrapin,271025183,14573520,0.0537718
KLC098,Mus_musculus,258965032,9128599,0.0352503
RLK004,Mus_musculus,273261030,9046546,0.0331059
RLK019,Mus_musculus,254270794,8488080,0.033382
RLK034,Mus_musculus,271025183,12684033,0.0468002
KLC098,Petromyzon_marinus,258965032,3160366,0.0122038
RLK004,Petromyzon_marinus,273261030,3068678,0.0112298
RLK019,Petromyzon_marinus,254270794,2751410,0.0108208
RLK034,Petromyzon_marinus,271025183,5492642,0.0202662
KLC098,Podarcis_muralis,258965032,20508572,0.0791944
