file_name, total_reads
KLC098_USD16091388L_HKFJFDSXX_L4.merged.fq.gz , 16471245
KLC098_USD16091388L_HKG5MDSXX_L1.merged.fq.gz , 6905831
RLK004_USD16091389L_HJNHCDSXX_L3.merged.fq.gz , 22100016
RLK019_USD16091390L_HJMVKDSXX_L3.merged.fq.gz , 19246595
RLK019_USD16091390L_HKG5MDSXX_L1.merged.fq.gz , 4216173
RLK034_USD16091387L_HJNHCDSXX_L2.merged.fq.gz , 34189845
KLC098_USD16091388L_HKFJFDSXX_L4.unmerged1.fq.gz , 82417817
KLC098_USD16091388L_HKFJFDSXX_L4.unmerged2.fq.gz , 82417817
KLC098_USD16091388L_HKG5MDSXX_L1.unmerged1.fq.gz , 35376161
KLC098_USD16091388L_HKG5MDSXX_L1.unmerged2.fq.gz , 35376161
RLK004_USD16091389L_HJNHCDSXX_L3.unmerged1.fq.gz , 125580507
RLK004_USD16091389L_HJNHCDSXX_L3.unmerged2.fq.gz , 125580507
RLK019_USD16091390L_HJMVKDSXX_L3.unmerged1.fq.gz , 96323816
RLK019_USD16091390L_HJMVKDSXX_L3.unmerged2.fq.gz , 96323816
RLK019_USD16091390L_HKG5MDSXX_L1.unmerged1.fq.gz , 19080197
RLK019_USD16091390L_HKG5MDSXX_L1.unmerged2.fq.gz , 19080197
RLK034_USD16091387L_HJNHCDSXX_L2.unmerged1.fq.gz , 118417669
RLK034_USD16091387L_HJNHCDSXX_L2.unmerged2.fq.gz , 118417669
