#sample_ID, Ref_name, number_of_reads, avg_depth, map_percentage, patristic_distance
KLC098,Aspidoscelis_marmoratus,26875600,3.10056,97.00,57.37
RLK004,Aspidoscelis_marmoratus,25394648,2.94008,97.00,57.37
RLK019,Aspidoscelis_marmoratus,26916716,3.0953,96.00,57.38
RLK034,Aspidoscelis_marmoratus,36306228,4.81418,99.00,0
KLC098,Podarcis_muralis,23789706,0.184855,,3008372,313.900452284
RLK004,Podarcis_muralis,22503405,0.170391,,2832012,313.900451293
RLK019,Podarcis_muralis,23887801,0.170174,,2853615,313.900455997
RLK034,Podarcis_muralis,35179980,0.347016,,5371239,313.900457232
KLC098,Lacerta_agilis,23808998,0.199725,,2958214,313.9004561712
RLK004,Lacerta_agilis,22500948,0.183282,,2779711,313.9004551802
RLK019,Lacerta_agilis,23864881,0.182365,,2789916,313.9004598842
RLK034,Lacerta_agilis,35194330,0.379241,,5329277,313.9004611192
KLC098,Hemicordylus_capensis,23868695,0.125227,,3103615,345.895226676
RLK004,Hemicordylus_capensis,22587372,0.114811,,2939151,345.895225685
RLK019,Hemicordylus_capensis,23954976,0.113859,,2959084,345.895230389
RLK034,Hemicordylus_capensis,35257981,0.25288,,5660447,345.895231624
KLC098,Sceloporus_undulatus,23879206,0.131358,,2496196,335.3183152833
RLK004,Sceloporus_undulatus,22557979,0.120605,,2332737,335.3183142923
RLK019,Sceloporus_undulatus,23895231,0.12049,,2345520,335.3183189963
RLK034,Sceloporus_undulatus,35589489,0.232138,,4488906,335.3183202313
KLC098,Python_bivittatus,23701642,0.143373,,2503052,335.31830890339
RLK004,Python_bivittatus,22381138,0.129562,,2330093,335.31830791239
RLK019,Python_bivittatus,23714146,0.127469,,2323838,335.31831261639
RLK034,Python_bivittatus,34953476,0.297581,,4600396,335.31831385139
KLC098,Calyptommatus_sinebrachiatus,25621062,0.378412,,6232606,191.59035521
RLK004,Calyptommatus_sinebrachiatus,24175819,0.358439,,5919978,191.590354219
RLK019,Calyptommatus_sinebrachiatus,25500220,0.366527,,6075205,191.590358923
RLK034,Calyptommatus_sinebrachiatus,37872687,0.604799,,9942180,191.590360158
KLC098,Euleptes_europaea,24007699,0.163073,,3295278,361.047659388
RLK004,Euleptes_europaea,22686890,0.146516,,3035696,361.047658397
RLK019,Euleptes_europaea,24042133,0.14473,,3050221,361.047663101
RLK034,Euleptes_europaea,35583585,0.317684,,5755252,361.047664336
KLC098,Gekko_japonicus,24106826,0.123368,,3403596,361.047652274
RLK004,Gekko_japonicus,22774454,0.111783,,3162844,361.047651283
RLK019,Gekko_japonicus,24116030,0.110545,,3178351,361.047655987
RLK034,Gekko_japonicus,35623482,0.237474,,5921574,361.047657222
KLC098,Salvator_merianae,25753189,0.585827,,9878463,191.590365152
RLK004,Salvator_merianae,24350362,0.550612,,9315626,191.590364161
RLK019,Salvator_merianae,25766262,0.567483,,9621324,191.590368865
RLK034,Salvator_merianae,38201874,0.889738,,15083612,191.5903701
KLC098,Sphenodon_punctatus,23700515,0.0349391,,1778277,485.548016152
RLK004,Sphenodon_punctatus,22385304,0.0313577,,1658158,485.548015161
RLK019,Sphenodon_punctatus,23726438,0.031435,,1660170,485.548019865
RLK034,Sphenodon_punctatus,35684046,0.0738919,,3643843,485.5480211
KLC098,Tretioscincus_oriximinensis,25431249,0.416992,,6164814,191.590351024
RLK004,Tretioscincus_oriximinensis,24020121,0.395158,,5858906,191.590350033
RLK019,Tretioscincus_oriximinensis,25352622,0.405076,,6013027,191.590354737
RLK034,Tretioscincus_oriximinensis,37673055,0.670037,,9838756,191.590355972
