#sample_ID, Ref_name, total_reads, avg_depth, map_percentage, #_of_mapped_reads
RLK019,Alligator_mississippiensis,,0.0479018,,1201051
RLK004,Alligator_mississippiensis,22353367,0.0474818,,1215157
KLC098,Alligator_mississippiensis,23639507,0.0536942,,1332226
RLK034,Alligator_mississippiensis,35315744,0.121282,,2964545
RLK034,Ambystoma_mexicanum,10549256,47.5768,,598155
RLK004,Ambystoma_mexicanum,22134358,11.3492,,156982
RLK019,Ambystoma_mexicanum,23489177,8.66243,,114216
KLC098,Ambystoma_mexicanum,23443196,19.0849,,219152
RLK004,Aspidoscelis_marmoratus,25394652,2.94008,,21365854
KLC098,Aspidoscelis_marmoratus,26875591,3.10056,,22602255
RLK019,Aspidoscelis_marmoratus,26916723,3.0953,,22507298
RLK034,Aspidoscelis_marmoratus,36306216,4.81418,,33952105
RLK004,Bison_bison,22305754,0.0319358,,943649
KLC098,Bison_bison,23568338,0.0390341,,1057691
RLK019,Bison_bison,23708945,0.0308066,,923370
RLK034,Bison_bison,34628074,0.102654,,2627977
RLK004,Calyptommatus_sinebrachiatus,24175819,0.358439,,5919978
KLC098,Calyptommatus_sinebrachiatus,25621062,0.378412,,6232606
RLK019,Calyptommatus_sinebrachiatus,25500220,0.366527,,6075205
RLK034,Calyptommatus_sinebrachiatus,37872687,0.604799,,9942180
RLK004,Danio_rerio,22166681,0.0383824,,817128
RLK019,Danio_rerio,23525596,0.0350677,,770127
KLC098,Danio_rerio,23445380,0.0454344,,900518
RLK034,Danio_rerio,34309600,0.0977332,,1789893
RLK004,Eptatretus_burgeri,22219893,0.0238664,,775146
RLK019,Eptatretus_burgeri,23591617,0.0206478,,708043
KLC098,Eptatretus_burgeri,23500596,0.0290646,,862235
RLK034,Eptatretus_burgeri,34519058,0.0702643,,1996334
RLK004,Euleptes_europaea,22686890,0.146516,,3035696
KLC098,Euleptes_europaea,24007699,0.163073,,3295278
RLK019,Euleptes_europaea,24042133,0.14473,,3050221
RLK034,Euleptes_europaea,35583585,0.317684,,5755252
RLK004,Falco_peregrinus,22218831,0.0746257,,1055100
RLK019,Falco_peregrinus,23564771,0.0683336,,1004012
KLC098,Falco_peregrinus,23513947,0.0886627,,1172961
RLK034,Falco_peregrinus,34858844,0.233737,,2860225
RLK004,Fundulus_heteroclitus,22178317,0.0544858,,782343
RLK019,Fundulus_heteroclitus,23538116,0.0482609,,727128
KLC098,Fundulus_heteroclitus,23452910,0.0659673,,872961
RLK034,Fundulus_heteroclitus,34404005,0.16202,,1999712
RLK004,Gekko_japonicus,22774454,0.111783,,3162844
RLK019,Gekko_japonicus,24116030,0.110545,,3178351
KLC098,Gekko_japonicus,24106826,0.123368,,3403596
RLK034,Gekko_japonicus,35623482,0.237474,,5921574
RLK004,Hemicordylus_capensis,22587372,0.114811,,2939151
RLK019,Hemicordylus_capensis,23954976,0.113859,,2959084
KLC098,Hemicordylus_capensis,23868695,0.125227,,3103615
RLK034,Hemicordylus_capensis,35257981,0.25288,,5660447
RLK004,Homo_sapiens,22242212,0.0279589,,1018011
KLC098,Homo_sapiens,23522899,0.0345314,,1143089
RLK019,Homo_sapiens,23636478,0.0285191,,1015880
RLK034,Homo_sapiens,34545435,0.0969403,,2800536
RLK004,Lacerta_agilis,22500948,0.183282,,2779711
RLK019,Lacerta_agilis,23864881,0.182365,,2789916
KLC098,Lacerta_agilis,23808998,0.199725,,2958214
