sample_ID,Ref_name,total_reads,n_mapped_reads,mapped_proportion,avg_depth,mapped_percentage
KLC098,Alligator_mississippiensis,258965032,9882384,0.0381611,0.3536892,3.81611
KLC098,Ambystoma_mexicanum,258965032,938117,0.00362256,21.71874,0.362256
KLC098,Aspidoscelis_marmoratus,258965032,138114409,0.533332,22.79786,53.3332
KLC098,Bison_bison,258965032,7682398,0.0296658,0.2162041,2.96658
KLC098,Calyptommatus_sinebrachiatus,258965032,42063892,0.162431,2.538372,16.2431
KLC098,Danio_rerio,258965032,4967111,0.0191806,0.2178214,1.91806
KLC098,Eptatretus_burgeri,258965032,4743974,0.018319,0.1372386,1.8319
KLC098,Euleptes_europaea,258965032,21991879,0.0849222,1.046185,8.49222
KLC098,Falco_peregrinus,258965032,8017040,0.030958,0.5149887,3.0958
KLC098,Fundulus_heteroclitus,258965032,4661057,0.0179988,0.3052353,1.79988
KLC098,Gekko_japonicus,258965032,23059693,0.0890456,0.786381,8.90456
KLC098,Hemicordylus_capensis,258965032,21387297,0.0825876,0.82768,8.25876
KLC098,Homo_sapiens,258965032,8360938,0.032286,0.2008124,3.2286
KLC098,Lacerta_agilis,258965032,20199994,0.0780028,1.307775,7.80028
KLC098,Latimeria_chalumnae,258965032,7060883,0.0272658,0.1709796,2.72658
KLC098,Malaclemys_terrapin,258965032,11025568,0.0425755,0.4049628,4.25755
KLC098,Mus_musculus,258965032,9128599,0.0352503,0.2390424,3.52503
KLC098,Petromyzon_marinus,258965032,3160366,0.0122038,0.2433523,1.22038
KLC098,Podarcis_muralis,258965032,20508572,0.0791944,1.205205,7.91944
KLC098,Podarcis_raffoneae,258965032,20756118,0.0801503,1.240502,8.01503
KLC098,Pristis_pectinata,258965032,5939292,0.0229347,0.1897782,2.29347
KLC098,Python_bivittatus,258965032,16792208,0.0648435,0.905592,6.48435
KLC098,Rana_temporaria,258965032,8058818,0.0311193,0.1380069,3.11193
KLC098,Salvator_merianae,258965032,67737761,0.261571,4.135047,26.1571
KLC098,Sceloporus_undulatus,258965032,17994363,0.0694857,0.877633,6.94857
KLC098,Sphenodon_punctatus,258965032,13354115,0.0515673,0.2365511,5.15673
KLC098,Stegostoma_fasciatum,258965032,6076985,0.0234664,0.1519582,2.34664
KLC098,Tretioscincus_oriximinensis,258965032,41672205,0.160918,2.798712,16.0918
RLK004,Alligator_mississippiensis,273261030,10009301,0.0366291,0.3464558,3.66291
RLK004,Ambystoma_mexicanum,273261030,704645,0.00257865,23.524,0.257865
RLK004,Aspidoscelis_marmoratus,273261030,144747929,0.529706,23.96038,52.9706
RLK004,Bison_bison,273261030,7621005,0.0278891,0.2001768,2.78891
RLK004,Calyptommatus_sinebrachiatus,273261030,44109431,0.161419,2.658439,16.1419
RLK004,Danio_rerio,273261030,4942543,0.0180873,0.2017354,1.80873
RLK004,Eptatretus_burgeri,273261030,4812069,0.0176098,0.1250664,1.76098
RLK004,Euleptes_europaea,273261030,22675263,0.0829802,1.05522,8.29802
RLK004,Falco_peregrinus,273261030,8043834,0.0294364,0.4911307,2.94364
RLK004,Fundulus_heteroclitus,273261030,4660802,0.0170562,0.2815778,1.70562
RLK004,Gekko_japonicus,273261030,23774694,0.0870036,0.793157,8.70036
RLK004,Hemicordylus_capensis,273261030,22285510,0.0815539,0.845382,8.15539
RLK004,Homo_sapiens,273261030,8303637,0.0303872,0.1858649,3.03872
RLK004,Lacerta_agilis,273261030,20914438,0.0765365,1.336812,7.65365
RLK004,Latimeria_chalumnae,273261030,7053836,0.0258135,0.1608857,2.58135
RLK004,Malaclemys_terrapin,273261030,11190736,0.0409526,0.3951439,4.09526
RLK004,Mus_musculus,273261030,9046546,0.0331059,0.2233647,3.31059
RLK004,Petromyzon_marinus,273261030,3068678,0.0112298,0.2086649,1.12298
RLK004,Podarcis_muralis,273261030,21252465,0.0777735,1.238011,7.77735
RLK004,Podarcis_raffoneae,273261030,21445069,0.0784783,1.257269,7.84783
RLK004,Pristis_pectinata,273261030,6217078,0.0227514,0.178785,2.27514
RLK004,Python_bivittatus,273261030,17325677,0.0634034,0.916246,6.34034
